内容,视频标题,视频发布时间,视频发布时间y-m,时长,观看次数,平均观看时长,平均观看百分比 (%)
G-KIZk0VcRM,Pripara AMV-Happy pa lucky,28-Jan-17,2017-01,285,535406,0:02:28,52.1
_ZUFjmy5xSI,Aikatsu-Wake up my music full lyrics,29-Jan-15,2015-01,286,272606,0:02:05,43.76
FidL0TdBA4g,Pripara-PaPiPuPe?Police-Lyrics-Full,6-Jan-16,2016-01,151,250823,0:01:18,52.23
gouluThL7aU,Pripara-Manaka Laala-Thank You ? Birthday-Full-Lyrics,25-Sep-15,2015-09,255,237371,0:02:17,53.91
N522pHt7QTI,Pripara-Happy Pa Lucky-Full-Lyrics,1-Jun-15,2015-06,285,236048,0:02:29,52.57
nNM9UuDRq5c,Pripara-Fuwari Midorikaze-?????????-Lyrics-Full,1-Dec-15,2015-12,191,207161,0:01:43,54.08
akjrp7Vbzj8,Pripara-Dressing Pafè-Change!My world Full lyrics,19-Mar-15,2015-03,236,116773,0:02:16,57.89
xYRIckJhheI,Pripara-Aromageddon-Reversible Ring-Full-Lyrics,25-Sep-15,2015-09,224,104942,0:02:17,61.26
xo-j_YUUM1o,Aikatsu-Let's aikatsu full lyrics,18-Jan-15,2015-01,255,99144,0:02:19,54.67
n-mqbiMz3Gg,Pripara-Love Friend Style-Lyrics-Full,24-Sep-15,2015-09,297,88801,0:02:45,55.6
1FD0dvTSS-0,Aikatsu-Passion flower full lyrics,16-Mar-15,2015-03,274,77479,0:02:10,47.52
Fg5bhRw0Vuc,Aikatsu-Hello!Winter Love?full lyrics,12-Mar-15,2015-03,254,66136,0:02:02,48.13
3D4Z1ww79gw,Pripara - Falulu - 0-Week-Old - Lyrics - Full,21-Dec-15,2015-12,241,58994,0:02:12,54.82
vEAi9ltt50E,Pripara-Dressing Flower-Bold SUMMER ADVENTURE-Lyrics-Full,30-Nov-15,2015-11,274,52966,0:02:19,50.87
v-bbI7OCdnI,Aikatsu-Start Dash Sensation-Lyrics-Full,10-Dec-15,2015-12,278,48428,0:02:20,50.55
nAF3oo9okYQ,Aikatsu-Tarte Tatin full lyrics,16-Mar-15,2015-03,239,47759,0:02:00,50.61
pvlkuLWvGmQ,Aikatsu-Good morning my dream full lyrics,18-Jan-15,2015-01,252,46645,0:02:02,48.47
8sX2g17GL0A,Pripara-Todo Shion-????final show?-Lyrics-Full,30-Nov-15,2015-11,235,44581,0:02:08,54.78
DDyPXAv5nlk,Happinesscharge precure-Innocent harmony  lyrics,4-Jan-15,2015-01,253,42395,0:02:05,49.79
PnpCMI7RoYo,Go!Princess precure-Dreaming Princess precure full lyrics,19-Mar-15,2015-03,192,36360,0:01:41,52.79
WMBruz7in5o,Pripara - Sola Ageddon-Mi - Lucky! Surprise Birthd,27-Sep-15,2015-09,265,34055,0:02:39,60.27
7drEJXWjhig,Aikatsu-Kiriya Aoi-Stranger alien full lyrics,19-Feb-15,2015-02,283,33649,0:01:42,36.1
RI4WSTP8I9k,Aikatsu-Hoshimiya Ichigo-Dance in the rain full ly,19-Feb-15,2015-02,246,31482,0:01:42,41.84
4pVdFZeQ7lA,Aikatsu-shining line full lyrics,15-Dec-14,2014-12,271,30725,0:01:33,34.36
NoxWV67zbF8,Pretty Rhythm Aurora Dream-MARs-Pretty Rhythm De Go!-Lyrics-Full,14-Dec-15,2015-12,191,30336,0:01:15,39.46
 -TAkw0bULBY,Aikatsu-Hey!Little Girl-Lyrics-Full,12-Dec-15,2015-12,223,29656,0:01:47,48
iFYf4in5dKw,Aikatsu-Precious-Lyrics-Full,15-Dec-15,2015-12,329,29176,0:02:01,36.91
OBKE3PNaYd8,Aikatsu-Lucky Train!-Lyrics-Full,10-Dec-15,2015-12,263,27463,0:02:05,47.71
IyhnXh1EJQs,Aikatsu-Beautiful song-Passion flower full,12-Mar-15,2015-03,274,27042,0:02:16,49.88
lEBszdkISFc,Aikatsu-Chica×Chica-Lyrics-Full,9-Dec-15,2015-12,241,21735,0:02:05,51.89
2mfZkvSXtGk,Aikatsu- 2wings- Friend full lyrics,14-Feb-15,2015-02,225,20823,0:01:24,37.46
vQp0Wza4LzM,Aikatsu-idol activity lyrics full,15-Dec-14,2014-12,270,19986,0:01:38,36.33
CkS1ZohOb6Y,Pretty Rhythm Rainbow Live-Bell Rose-Rosette Nebula-Lyrics-Full,28-Dec-15,2015-12,231,18427,0:01:55,50.19
ozFEMc3TieQ,Aikatsu -WM- Smiling suncatcher full lyrics,14-Feb-15,2015-02,288,17870,0:01:29,31.17
IAkwj8HFxoM,Miracle go! Princess precure full lyrics,19-Mar-15,2015-03,201,16219,0:01:33,46.68
rowrlwmil0k,Aikatsu-wake up my music full lyrics,15-Dec-14,2014-12,288,13703,0:01:39,34.63
