地理位置,观看次数,观看时长（小时）,订阅人数
总计,3382373,119692.5289,4299
JP,1067205,40167.9941,0
KR,258646,10101.5511,0
ID,254289,7849.0821,0
VN,193178,4823.9928,0
HK,178890,5344.717,0
US,150014,6256.5846,0
TW,115354,4041.8374,0
TH,70848,2198.8192,0
FR,47771,1817.5656,0
MY,45160,1586.6199,0
PH,33794,1345.1455,0
MX,28869,1146.7097,0
BR,20517,767.4093,0
ES,15874,678.0172,0
IN,13804,414.1584,0
DE,12820,486.8998,0
GB,11414,430.4124,0
CA,11127,471.9839,0
SG,7979,350.6088,0
CL,6795,250.7811,0
SA,6329,185.1508,0
IT,4761,180.9731,0
PE,4701,192.4552,0
AR,3889,152.2711,0
MO,2733,78.3283,0
AU,2318,80.7746,0
RU,1608,42.7042,0
PL,1510,68.2289,0
CO,1152,41.0648,0
FI,1105,46.3179,0
SE,1056,51.6671,0
VE,996,49.7495,0
NL,813,37.6441,0
PT,495,15.7891,0
BE,473,22.6176,0
EC,401,18.0132,0
IQ,389,8.9745,0
NO,377,13.9564,0
SK,371,11.5507,0
KH,370,10.6346,0
AE,359,13.9117,0
KW,351,7.3529,0
TR,325,9.6967,0
KZ,295,12.0773,0
MA,291,7.744,0
DK,289,9.8589,0
LA,271,9.2108,0
EG,266,10.937,0
IL,251,5.6409,0
CH,248,6.2726,0
PR,216,10.2949,0
UY,207,11.0471,0
DO,189,6.8749,0
HU,167,6.5841,0
RE,167,5.7927,0
QA,164,11.5076,0
RS,164,6.2113,0
NZ,134,6.7202,0
AT,127,3.3881,0
GR,127,6.7175,0
PK,125,4.4293,0
DZ,122,2.4994,0
PA,119,3.9109,0
MN,114,1.8526,0
MK,108,2.8823,0
PS,99,4.1096,0
BN,83,4.1239,0
ZA,80,2.9415,0
OM,75,1.2332,0
MG,71,4.1156,0
RO,71,1.9767,0
PY,69,2.7774,0
AZ,62,2.2099,0
UA,60,1.0461,0
BY,57,1.702,0
NP,45,1.3353,0
GT,44,1.0314,0
CM,42,0.8937,0
CR,42,0.9232,0
IE,37,1.4093,0
AM,36,0.5367,0
MM,35,0.6958,0
AW,34,2.1145,0
JO,34,1.2749,0
LV,34,0.4157,0
KG,33,0.3287,0
BO,26,0.9352,0
CZ,26,1.5482,0
SV,26,1.9262,0
GU,24,0.9446,0
BG,23,0.5665,0
GP,22,0.8902,0
EE,20,0.5174,0
HN,17,0.468,0
CG,16,0.0485,0
GE,16,0.0759,0
BH,10,0.2796,0
LU,10,0.3521,0
MQ,10,0.2324,0
MU,10,0.1803,0
NE,10,0.3705,0
SY,10,0.3663,0
TN,10,0.1223,0
