地理位置,观看次数,观看时长（小时）
JP,1067205,40167.9941
KR,258646,10101.5511
ID,254289,7849.0821
VN,193178,4823.9928
HK,178890,5344.717
US,150014,6256.5846
TW,115354,4041.8374
TH,70848,2198.8192
FR,47771,1817.5656
MY,45160,1586.6199
PH,33794,1345.1455
MX,28869,1146.7097
BR,20517,767.4093
ES,15874,678.0172
IN,13804,414.1584
DE,12820,486.8998
GB,11414,430.4124
CA,11127,471.9839
SG,7979,350.6088
CL,6795,250.7811
SA,6329,185.1508
IT,4761,180.9731
PE,4701,192.4552
AR,3889,152.2711
MO,2733,78.3283
AU,2318,80.7746
RU,1608,42.7042
PL,1510,68.2289
CO,1152,41.0648
FI,1105,46.3179
SE,1056,51.6671
VE,996,49.7495
NL,813,37.6441
PT,495,15.7891
BE,473,22.6176
EC,401,18.0132
IQ,389,8.9745
NO,377,13.9564
SK,371,11.5507
KH,370,10.6346
AE,359,13.9117
KW,351,7.3529
TR,325,9.6967
KZ,295,12.0773
MA,291,7.744
DK,289,9.8589
LA,271,9.2108
EG,266,10.937
IL,251,5.6409
CH,248,6.2726
PR,216,10.2949
UY,207,11.0471
DO,189,6.8749
HU,167,6.5841
RE,167,5.7927
QA,164,11.5076
RS,164,6.2113
NZ,134,6.7202
AT,127,3.3881
GR,127,6.7175
PK,125,4.4293
DZ,122,2.4994
PA,119,3.9109
MN,114,1.8526
MK,108,2.8823
PS,99,4.1096
BN,83,4.1239
ZA,80,2.9415
OM,75,1.2332
MG,71,4.1156
RO,71,1.9767
PY,69,2.7774
AZ,62,2.2099
UA,60,1.0461
BY,57,1.702
NP,45,1.3353
GT,44,1.0314
CM,42,0.8937
CR,42,0.9232
IE,37,1.4093
AM,36,0.5367
MM,35,0.6958
AW,34,2.1145
JO,34,1.2749
LV,34,0.4157
KG,33,0.3287
BO,26,0.9352
CZ,26,1.5482
SV,26,1.9262
GU,24,0.9446
BG,23,0.5665
GP,22,0.8902
EE,20,0.5174
HN,17,0.468
CG,16,0.0485
GE,16,0.0759
BH,10,0.2796
LU,10,0.3521
MQ,10,0.2324
MU,10,0.1803
NE,10,0.3705
SY,10,0.3663
TN,10,0.1223
