日期,流量来源,观看次数
2014-12,直接或不明来源,29
2015-01,直接或不明来源,155
2015-02,直接或不明来源,255
2015-03,直接或不明来源,2028
2015-04,直接或不明来源,3896
2015-05,直接或不明来源,3497
2015-06,直接或不明来源,3920
2015-07,直接或不明来源,3115
2015-08,直接或不明来源,2056
2015-09,直接或不明来源,2297
2015-10,直接或不明来源,2249
2015-11,直接或不明来源,1799
2015-12,直接或不明来源,2094
2016-01,直接或不明来源,2297
2016-02,直接或不明来源,2683
2016-03,直接或不明来源,2462
2016-04,直接或不明来源,2014
2016-05,直接或不明来源,1838
2016-06,直接或不明来源,1647
2016-07,直接或不明来源,1806
2016-08,直接或不明来源,1909
2016-09,直接或不明来源,1479
2016-10,直接或不明来源,1149
2016-11,直接或不明来源,978
2016-12,直接或不明来源,810
2017-01,直接或不明来源,902
2017-02,直接或不明来源,855
2017-03,直接或不明来源,972
2017-04,直接或不明来源,1237
2017-05,直接或不明来源,1336
2017-06,直接或不明来源,1176
2017-07,直接或不明来源,1011
2017-08,直接或不明来源,1038
2017-09,直接或不明来源,732
2017-10,直接或不明来源,544
2017-11,直接或不明来源,551
2017-12,直接或不明来源,586
2018-01,直接或不明来源,490
2018-02,直接或不明来源,677
2018-03,直接或不明来源,677
2018-04,直接或不明来源,827
2018-05,直接或不明来源,766
2018-06,直接或不明来源,1086
2018-07,直接或不明来源,717
2018-08,直接或不明来源,681
2018-09,直接或不明来源,539
2018-10,直接或不明来源,649
2018-11,直接或不明来源,542
2018-12,直接或不明来源,445
2019-01,直接或不明来源,523
2019-02,直接或不明来源,537
2019-03,直接或不明来源,504
2019-04,直接或不明来源,538
2019-05,直接或不明来源,608
2019-06,直接或不明来源,348
2019-07,直接或不明来源,290
2019-08,直接或不明来源,234
2019-09,直接或不明来源,271
2019-10,直接或不明来源,664
2019-11,直接或不明来源,680
2019-12,直接或不明来源,528
2020-01,直接或不明来源,483
2020-02,直接或不明来源,318
2020-03,直接或不明来源,344
2020-04,直接或不明来源,384
2020-05,直接或不明来源,347
2020-06,直接或不明来源,306
2020-07,直接或不明来源,200
2020-08,直接或不明来源,129
2020-09,直接或不明来源,122
2020-10,直接或不明来源,117
2020-11,直接或不明来源,120
2020-12,直接或不明来源,136
2021-01,直接或不明来源,185
2021-02,直接或不明来源,118
2021-03,直接或不明来源,122
2021-04,直接或不明来源,86
2021-05,直接或不明来源,124
2021-06,直接或不明来源,122
2021-07,直接或不明来源,101
2021-08,直接或不明来源,117
2021-09,直接或不明来源,98
2021-10,直接或不明来源,89
2021-11,直接或不明来源,106
2021-12,直接或不明来源,92
2022-01,直接或不明来源,115
2022-02,直接或不明来源,135
2022-03,直接或不明来源,94
2022-04,直接或不明来源,110
2022-05,直接或不明来源,138
2022-06,直接或不明来源,179
2022-07,直接或不明来源,156
2022-08,直接或不明来源,182
2022-09,直接或不明来源,165
2022-10,直接或不明来源,130
2022-11,直接或不明来源,146
2022-12,直接或不明来源,167
2023-01,直接或不明来源,134
2023-02,直接或不明来源,143
2023-03,直接或不明来源,122
2023-04,直接或不明来源,93
2023-05,直接或不明来源,135
2023-06,直接或不明来源,154
2023-07,直接或不明来源,139
2023-08,直接或不明来源,226
2023-09,直接或不明来源,120
2023-10,直接或不明来源,87
2023-11,直接或不明来源,119
2023-12,直接或不明来源,103
2024-01,直接或不明来源,163
2024-02,直接或不明来源,136
2024-03,直接或不明来源,183
2024-04,直接或不明来源,181
2024-05,直接或不明来源,135
2024-06,直接或不明来源,111
2024-07,直接或不明来源,103
2024-08,直接或不明来源,111
2024-09,直接或不明来源,124
2024-10,直接或不明来源,105
2024-11,直接或不明来源,128
2024-12,直接或不明来源,106
2025-01,直接或不明来源,92
2025-02,直接或不明来源,95
2025-03,直接或不明来源,134
2025-04,直接或不明来源,194
2025-05,直接或不明来源,229
2025-06,直接或不明来源,175
2025-07,直接或不明来源,124
2025-08,直接或不明来源,149
2025-09,直接或不明来源,105
2025-10,直接或不明来源,209
2025-11,直接或不明来源,145
2025-12,直接或不明来源,114
2026-01,直接或不明来源,99
2026-02,直接或不明来源,118
2026-03,直接或不明来源,97
