内容,视频标题,视频发布时间,时长,观看次数,平均观看时长,平均观看百分比 (%)
总计,,,,3382376,0:02:07,50.89
G-KIZk0VcRM,Pripara AMV-Happy pa lucky,"Jan 28, 2017",285,535406,0:02:28,52.1
_ZUFjmy5xSI,Aikatsu-Wake up my music full lyrics,"Jan 29, 2015",286,272606,0:02:05,43.76
FidL0TdBA4g,Pripara-PaPiPuPe☆Police-Lyrics-Full,"Jan 6, 2016",151,250823,0:01:18,52.23
gouluThL7aU,Pripara-Manaka Laala-Thank You ♥ Birthday-Full-Lyrics,"Sep 25, 2015",255,237371,0:02:17,53.91
N522pHt7QTI,Pripara-Happy Pa Lucky-Full-Lyrics,"Jun 1, 2015",285,236048,0:02:29,52.57
nNM9UuDRq5c,Pripara-Fuwari Midorikaze-コノウタトマレイヒ-Lyrics-Full,"Dec 1, 2015",191,207161,0:01:43,54.08
akjrp7Vbzj8,Pripara-Dressing Pafè-Change!My world Full lyrics,"Mar 19, 2015",236,116773,0:02:16,57.89
xYRIckJhheI,Pripara-Aromageddon-Reversible Ring-Full-Lyrics,"Sep 25, 2015",224,104942,0:02:17,61.26
xo-j_YUUM1o,Aikatsu-Let's aikatsu full lyrics,"Jan 18, 2015",255,99144,0:02:19,54.67
n-mqbiMz3Gg,Pripara-Love Friend Style-Lyrics-Full,"Sep 24, 2015",297,88801,0:02:45,55.6
1FD0dvTSS-0,Aikatsu-Passion flower full lyrics,"Mar 16, 2015",274,77479,0:02:10,47.52
Fg5bhRw0Vuc,Aikatsu-Hello!Winter Love♪full lyrics,"Mar 12, 2015",254,66136,0:02:02,48.13
3D4Z1ww79gw,Pripara - Falulu - 0-Week-Old - Lyrics - Full,"Dec 21, 2015",241,58994,0:02:12,54.82
vEAi9ltt50E,Pripara-Dressing Flower-Bold SUMMER ADVENTURE-Lyrics-Full,"Nov 30, 2015",274,52966,0:02:19,50.87
v-bbI7OCdnI,Aikatsu-Start Dash Sensation-Lyrics-Full,"Dec 10, 2015",278,48428,0:02:20,50.55
nAF3oo9okYQ,Aikatsu-Tarte Tatin full lyrics,"Mar 16, 2015",239,47759,0:02:00,50.61
pvlkuLWvGmQ,Aikatsu-Good morning my dream full lyrics,"Jan 18, 2015",252,46645,0:02:02,48.47
8sX2g17GL0A,Pripara-Todo Shion-絶対生命final show女-Lyrics-Full,"Nov 30, 2015",235,44581,0:02:08,54.78
DDyPXAv5nlk,Happinesscharge precure-Innocent harmony  lyrics,"Jan 4, 2015",253,42395,0:02:05,49.79
PnpCMI7RoYo,Go!Princess precure-Dreaming Princess precure full lyrics,"Mar 19, 2015",192,36360,0:01:41,52.79
WMBruz7in5o,Pripara - Sola Ageddon-Mi - Lucky! Surprise Birthd,"Sep 27, 2015",265,34055,0:02:39,60.27
7drEJXWjhig,Aikatsu-Kiriya Aoi-Stranger alien full lyrics,"Feb 19, 2015",283,33649,0:01:42,36.1
RI4WSTP8I9k,Aikatsu-Hoshimiya Ichigo-Dance in the rain full ly,"Feb 19, 2015",246,31482,0:01:42,41.84
4pVdFZeQ7lA,Aikatsu-shining line full lyrics,"Dec 15, 2014",271,30725,0:01:33,34.36
NoxWV67zbF8,Pretty Rhythm Aurora Dream-MARs-Pretty Rhythm De Go!-Lyrics-Full,"Dec 14, 2015",191,30336,0:01:15,39.46
 -TAkw0bULBY,Aikatsu-Hey!Little Girl-Lyrics-Full,"Dec 12, 2015",223,29656,0:01:47,48
iFYf4in5dKw,Aikatsu-Precious-Lyrics-Full,"Dec 15, 2015",329,29176,0:02:01,36.91
OBKE3PNaYd8,Aikatsu-Lucky Train!-Lyrics-Full,"Dec 10, 2015",263,27463,0:02:05,47.71
IyhnXh1EJQs,Aikatsu-Beautiful song-Passion flower full,"Mar 12, 2015",274,27042,0:02:16,49.88
lEBszdkISFc,Aikatsu-Chica×Chica-Lyrics-Full,"Dec 9, 2015",241,21735,0:02:05,51.89
2mfZkvSXtGk,Aikatsu- 2wings- Friend full lyrics,"Feb 14, 2015",225,20823,0:01:24,37.46
vQp0Wza4LzM,Aikatsu-idol activity lyrics full,"Dec 15, 2014",270,19986,0:01:38,36.33
CkS1ZohOb6Y,Pretty Rhythm Rainbow Live-Bell Rose-Rosette Nebula-Lyrics-Full,"Dec 28, 2015",231,18427,0:01:55,50.19
ozFEMc3TieQ,Aikatsu -WM- Smiling suncatcher full lyrics,"Feb 14, 2015",288,17870,0:01:29,31.17
IAkwj8HFxoM,Miracle go! Princess precure full lyrics,"Mar 19, 2015",201,16219,0:01:33,46.68
rowrlwmil0k,Aikatsu-wake up my music full lyrics,"Dec 15, 2014",288,13703,0:01:39,34.63
1IKyA2vw2Gk,Aikatsu-Beautiful song-Tarte Tatin full,"Mar 12, 2015",238,13456,0:02:01,50.91
ciaRPEK-KNw,Pripara AMV - Pretty prism paradise,"Jan 27, 2015",236,13005,0:01:21,34.66
5ecVdLF5yII,Aikatsu-Blooming♡Blooming-Lyrics-Full,"Dec 9, 2015",269,8618,0:01:57,43.83
G5MmZYf9gF0,Aikatsu-Enchanted party-Lyrics-Full,"Dec 9, 2015",266,8175,0:01:25,32.15
90NteP8cpZU,"Aikatsu-Little beat,little wing-Lyrics-Full","Dec 21, 2015",230,8006,0:01:32,40.16
k4vb8b-LUZQ,Pripara AMV-Change My World,"Dec 21, 2016",235,6466,0:01:22,34.97
CaD-UBkD0qM,Pripara-Dressing Pafè-No D&D Code Full lyrics,"Apr 5, 2015",208,5987,0:01:39,47.64
V5t9oxxcUUk,Pretty rhythm aorora dream- Hop step jump lyrics,"Jan 18, 2015",96,5170,0:00:57,60.06
neZiI68vdv4,Puripara-marble make up a-ha-ha full lyrics,"Dec 15, 2014",208,3234,0:01:20,38.69
g7FrGG4d3LY,Pripara AMV Marble make up a ha ha!,"Feb 8, 2015",207,3002,0:01:19,38.57
IRlt8rh2NRA,Pripara-Omuorice-Lyrics-Full,"May 20, 2017",234,2464,0:01:33,39.82
iMyhH2Ojmwc,Happinesscharge Precure-Precure memory lyrics full,"Jan 5, 2015",221,2439,0:01:19,36.09
LL3S1nzUZj4,Dokidoki precure-Love link full lyrics,"Jan 8, 2015",211,2288,0:01:15,35.83
WCRwXPE-acc,Dokidoki precure-Beyond The Sky full lyrics,"Jan 8, 2015",225,1802,0:01:15,33.55
UODC87EfUVY,Smile precure-Yay!yay!yay! full lyrics,"Jan 8, 2015",231,1692,0:01:00,26.04
r6CgOTfXm2w,Smile precure-Mankai*Smile full lyrics,"Jan 8, 2015",220,1567,0:01:02,28.42
MuOkngwByLc,Pretty rhythm rainbowlive-hatoirotoridorimu lyrics,"Dec 28, 2014",208,990,0:01:06,32.04
