日期,地理位置,观看次数
2014-12,AE,0
2015-01,AE,0
2015-02,AE,0
2015-03,AE,12
2015-04,AE,10
2015-05,AE,21
2015-06,AE,0
2015-07,AE,85
2015-08,AE,0
2015-09,AE,22
2015-10,AE,0
2015-11,AE,0
2015-12,AE,11
2016-01,AE,30
2016-02,AE,0
2016-03,AE,0
2016-04,AE,0
2016-05,AE,0
2016-06,AE,0
2016-07,AE,0
2016-08,AE,0
2016-09,AE,25
2016-10,AE,10
2016-11,AE,0
2016-12,AE,0
2017-01,AE,12
2017-02,AE,13
2017-03,AE,0
2017-04,AE,20
2017-05,AE,14
2017-06,AE,0
2017-07,AE,0
2017-08,AE,10
2017-09,AE,0
2017-10,AE,0
2017-11,AE,0
2017-12,AE,0
2018-01,AE,0
2018-02,AE,0
2018-03,AE,0
2018-04,AE,0
2018-05,AE,0
2018-06,AE,11
2018-07,AE,0
2018-08,AE,0
2018-09,AE,0
2018-10,AE,0
2018-11,AE,0
2018-12,AE,0
2019-01,AE,0
2019-02,AE,0
2019-03,AE,0
2019-04,AE,0
2019-05,AE,0
2019-06,AE,0
2019-07,AE,0
2019-08,AE,0
2019-09,AE,0
2019-10,AE,0
2019-11,AE,0
2019-12,AE,0
2020-01,AE,0
2020-02,AE,0
2020-03,AE,0
2020-04,AE,0
2020-05,AE,0
2020-06,AE,0
2020-07,AE,0
2020-08,AE,42
2020-09,AE,0
2020-10,AE,0
2020-11,AE,11
2020-12,AE,0
2021-01,AE,0
2021-02,AE,0
2021-03,AE,0
2021-04,AE,0
2021-05,AE,0
2021-06,AE,0
2021-07,AE,0
2021-08,AE,0
2021-09,AE,0
2021-10,AE,0
2021-11,AE,0
2021-12,AE,0
2022-01,AE,0
2022-02,AE,0
2022-03,AE,0
2022-04,AE,0
2022-05,AE,0
2022-06,AE,0
2022-07,AE,0
2022-08,AE,0
2022-09,AE,0
2022-10,AE,0
2022-11,AE,0
2022-12,AE,0
2023-01,AE,0
2023-02,AE,0
2023-03,AE,0
